cidade;uf;tempo;temperatura;temperatura_max;temperatura_min;nebulosidade;umidade;vento;horario_por_sol;pesca;melhor_horario_pesca;altura_maior_onda;data
Lagoinha;SP;períodos de chuva ao longo do dia [emoji_chuva];24;24;24;64;79;14;7:15pm;Mediano;1:06pm - 3:06pm;0.6;11/01/2022
Lauro de Freitas;BA;céu parcialmente nublado [emoji_nuvem_sol];26;27;26;1;75;21;6:06pm;Mediano;12:06pm - 2:06pm;1.7;11/01/2022
Macaé;RJ;chuvas leves [emoji_chuva_sol];26;26;26;62;88;14;6:37pm;Mediano;12:31pm - 2:31pm;0.9;11/01/2022
Macapá;AP;chuvas leves [emoji_chuva_sol];26;27;26;88;87;9;6:34pm;Mediano;12:43pm - 2:43pm;4.0;11/01/2022
Maceió;AL;céu nublado [emoji_nuvem];27;28;27;84;73;29;5:50pm;Mediano;11:51am - 1:51pm;0.7;11/01/2022
Marechal Deodoro;AL;céu nublado [emoji_nuvem];27;28;27;84;73;29;5:50pm;Mediano;11:51am - 1:51pm;0.7;11/01/2022
Morro de São Paulo;BA;céu parcialmente nublado [emoji_nuvem_sol];26;27;26;5;75;23;6:09pm;Mediano;12:08pm - 2:08pm;0.7;11/01/2022
Natal;RN;céu parcialmente nublado [emoji_nuvem_sol];27;29;27;13;66;19;5:42pm;Mediano;11:45am - 1:45pm;0.7;11/01/2022
Niterói;RJ;chuvas leves [emoji_chuva_sol];23;25;23;100;95;10;6:43pm;Mediano;12:37pm - 2:37pm;0.9;11/01/2022
Olinda;PE;céu parcialmente nublado [emoji_nuvem_sol];28;28;28;55;71;19;5:44pm;Mediano;11:46am - 1:46pm;0.7;11/01/2022
Paranaguá;PR;céu parcialmente nublado [emoji_nuvem_sol];25;25;25;26;77;22;7:10pm;Mediano;1:03pm - 3:03pm;0.9;11/01/2022
Paraty;RJ;céu nublado;21;23;21;64;92;10;6:51pm;Mediano;12:45pm - 2:45pm;0.9;11/01/2022
Parnaíba;PI;céu parcialmente nublado [emoji_nuvem_sol];27;27;27;45;74;31;6:03pm;Mediano;12:09pm - 2:09pm;0.7;11/01/2022
Pedra Grande;RN;períodos de chuva ao longo do dia [emoji_chuva];27;28;27;87;73;21;5:47pm;Mediano;11:48am - 1:48pm;0.7;11/01/2022
Peruíbe;SP;céu nublado [emoji_nuvem];24;24;24;73;79;14;6:59pm;Mediano;12:52pm - 2:52pm;0.8;11/01/2022
Ponta Negra;RN;céu parcialmente nublado [emoji_nuvem_sol];27;29;27;13;66;19;5:42pm;Mediano;11:45am - 1:45pm;0.7;11/01/2022
Porto de Galinhas;PE;céu parcialmente nublado [emoji_nuvem_sol];27;28;27;57;73;23;5:45pm;Mediano;11:47am - 1:47pm;1.7;11/01/2022
Porto Seguro;BA;muito sol [emoji_sol];26;27;26;0;72;39;6:15pm;Mediano;12:12pm - 2:12pm;0.7;11/01/2022
Praia Grande;SP;céu nublado [emoji_nuvem];24;24;24;73;79;14;6:59pm;Mediano;12:52pm - 2:52pm;0.8;11/01/2022
Recife;PE;céu parcialmente nublado [emoji_nuvem_sol];28;28;28;55;71;19;5:44pm;Mediano;11:46am - 1:46pm;0.7;11/01/2022
Rio das Ostras;RJ;chuvas leves [emoji_chuva_sol];26;26;26;62;88;14;6:37pm;Mediano;12:31pm - 2:31pm;0.9;11/01/2022
Rio de Janeiro;RJ;chuvas leves [emoji_chuva_sol];23;25;23;100;95;10;6:43pm;Mediano;12:38pm - 2:38pm;0.9;11/01/2022
Salvador;BA;céu parcialmente nublado [emoji_nuvem_sol];26;27;26;4;76;21;6:07pm;Mediano;12:07pm - 2:07pm;1.7;11/01/2022
Santos;SP;céu nublado [emoji_nuvem];24;24;24;89;79;11;6:58pm;Mediano;12:52pm - 2:52pm;0.8;11/01/2022
São Luis;MA;céu parcialmente nublado [emoji_nuvem_sol];27;28;27;31;75;15;6:13pm;Mediano;12:20pm - 2:20pm;4.5;11/01/2022
São Mateus;ES;céu parcialmente nublado [emoji_nuvem_sol];25;26;25;3;80;32;6:22pm;Mediano;12:18pm - 2:18pm;0.7;11/01/2022
São Sebastião;SP;períodos de chuva ao longo do dia [emoji_chuva];24;24;24;67;83;6;6:54pm;Mediano;12:48pm - 2:48pm;0.8;11/01/2022
Tibau do Sul;RN;períodos de chuva ao longo do dia [emoji_chuva];27;28;27;72;72;24;5:42pm;Mediano;11:44am - 1:44pm;0.7;11/01/2022
Ubatuba;SP;céu nublado;21;23;21;64;92;10;6:51pm;Mediano;12:45pm - 2:45pm;0.9;11/01/2022
Vila Velha;ES;muito sol [emoji_sol];26;27;26;0;81;27;6:27pm;Mediano;12:22pm - 2:22pm;1.1;11/01/2022
