cidade;uf;tempo;temperatura;temperatura_max;temperatura_min;nebulosidade;umidade;vento;horario_por_sol;pesca;melhor_horario_pesca;altura_maior_onda;data
Lauro de Freitas;BA;períodos de chuva ao longo do dia;27;28;27;77;82;35;6:05pm;Mediano;3:10pm - 5:10pm;2.0;07/01/2022
Macaé;RJ;chuvas leves;22;24;22;72;94;16;6:36pm;Mediano;3:22pm - 5:22pm;1.1;07/01/2022
Macapá;AP;chuvas leves;24;27;24;52;92;16;6:32pm;Mediano;4:02pm - 6:02pm;4.8;07/01/2022
Maceió;AL;céu parcialmente nublado;27;28;27;26;80;44;5:49pm;Mediano;2:59pm - 4:59pm;2.0;07/01/2022
Marechal Deodoro;AL;céu parcialmente nublado;27;28;27;26;80;44;5:49pm;Mediano;2:59pm - 4:59pm;2.0;07/01/2022
Morro de São Paulo;BA;períodos de chuva ao longo do dia;27;27;27;86;85;34;6:08pm;Mediano;3:12pm - 5:12pm;2.0;07/01/2022
Natal;RN;céu parcialmente nublado;27;29;27;58;76;19;5:40pm;Mediano;2:57pm - 4:57pm;2.0;07/01/2022
Niterói;RJ;chuvas leves;23;24;23;81;89;21;6:43pm;Mediano;3:28pm - 5:28pm;1.1;07/01/2022
Olinda;PE;céu parcialmente nublado;27;28;27;56;74;28;5:43pm;Mediano;2:55pm - 4:55pm;2.0;07/01/2022
Paranaguá;PR;chuvas leves;24;24;24;75;71;30;7:10pm;Mediano;3:49pm - 5:49pm;1.2;07/01/2022
Paraty;RJ;chuvas leves;22;23;22;71;89;26;6:51pm;Mediano;3:35pm - 5:35pm;1.1;07/01/2022
Parnaíba;PI;períodos de chuva ao longo do dia;27;28;27;81;81;39;6:01pm;Mediano;3:24pm - 5:24pm;2.2;07/01/2022
Pedra Grande;RN;céu parcialmente nublado;27;28;27;53;80;26;5:46pm;Mediano;2:57pm - 4:57pm;2.0;07/01/2022
Peruíbe;SP;chuvas leves;24;24;24;52;84;27;6:58pm;Mediano;3:41pm - 5:41pm;1.2;07/01/2022
Ponta Negra;RN;céu parcialmente nublado;27;29;27;58;76;19;5:40pm;Mediano;2:57pm - 4:57pm;2.0;07/01/2022
Porto de Galinhas;PE;céu nublado;27;28;27;67;78;26;5:44pm;Mediano;2:56pm - 4:56pm;2.0;07/01/2022
Porto Seguro;BA;chuvas leves;25;28;25;57;88;33;6:14pm;Mediano;3:11pm - 5:11pm;2.0;07/01/2022
Praia Grande;SP;chuvas leves;24;24;24;52;84;27;6:58pm;Mediano;3:41pm - 5:41pm;1.2;07/01/2022
Recife;PE;céu parcialmente nublado;27;28;27;56;74;28;5:43pm;Mediano;2:55pm - 4:55pm;2.0;07/01/2022
Rio das Ostras;RJ;chuvas leves;22;24;22;72;94;16;6:36pm;Mediano;3:22pm - 5:22pm;1.1;07/01/2022
Rio de Janeiro;RJ;chuvas leves;23;24;23;81;89;21;6:43pm;Mediano;3:28pm - 5:28pm;1.1;07/01/2022
Salvador;BA;períodos de chuva ao longo do dia;27;28;27;70;83;35;6:06pm;Mediano;3:10pm - 5:10pm;2.0;07/01/2022
Santos;SP;chuvas leves;23;24;23;83;83;23;6:58pm;Mediano;3:41pm - 5:41pm;1.2;07/01/2022
São Luis;MA;períodos de chuva ao longo do dia;25;28;25;70;90;20;6:12pm;Mediano;3:35pm - 5:35pm;5.1;07/01/2022
São Mateus;ES;chuvas leves;23;25;23;64;93;11;6:21pm;Mediano;3:14pm - 5:14pm;2.0;07/01/2022
São Sebastião;SP;chuvas leves;23;24;23;51;86;11;6:54pm;Mediano;3:37pm - 5:37pm;1.0;07/01/2022
Tibau do Sul;RN;períodos de chuva ao longo do dia;27;28;27;76;78;24;5:40pm;Mediano;2:56pm - 4:56pm;2.0;07/01/2022
Ubatuba;SP;chuvas leves;22;23;22;71;89;26;6:51pm;Mediano;3:35pm - 5:35pm;1.1;07/01/2022
Vila Velha;ES;chuvas leves;23;24;23;100;94;13;6:26pm;Mediano;3:16pm - 5:16pm;1.3;07/01/2022
